90;D0036963;;SB-FBP104;SB-FBP-EXA04;SB-FBP104;;EVS XTAccess 04;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;4;;20;;;;;;;;;;;;;;
91;D0036964;172.16.226.104;SB-FBP104;SB-FBP-EXA04;SB-FBP104;;EVS XTAccess 04;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB2;1;;5;;;;;;;;;;;;;;
92;D0036965;172.16.227.104;SB-FBP104;SB-FBP-EXA04;SB-FBP104;;EVS XTAccess 04;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB2;2;;5;;;;;;;;;;;;;;
93;D0037131;172.16.223.64;SB-FBP105;SB-FBP-EXA05;SB-FBP105;;EVS XTAccess 05;https://SB-FBP105-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;3;;21;;;;;;;;;;;;;;
94;D0037132;;SB-FBP105;SB-FBP-EXA05;SB-FBP105;;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;21;;;;;;;;;;;;;;
95;D0037133;172.16.226.105;SB-FBP105;SB-FBP-EXA05;SB-FBP105;;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB1;1;;6;;;;;;;;;;;;;;
96;D0037134;172.16.227.105;SB-FBP105;SB-FBP-EXA05;SB-FBP105;;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB1;2;;6;;;;;;;;;;;;;;
97;D0036966;172.16.223.65;SB-FBP106;SB-FBP-EXA06;SB-FBP106;;EVS XTAccess 06;https://sb-fbp106-ilo.rbb-online.de/;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;4;;21;;;;;;;;;;;;;;
98;D0036967;;SB-FBP106;SB-FBP-EXA06;SB-FBP106;;EVS XTAccess 06;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;4;;21;;;;;;;;;;;;;;
99;D0036968;172.16.226.106;SB-FBP106;SB-FBP-EXA06;SB-FBP106;;EVS XTAccess 06;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB4;1;;4;;;;;;;;;;;;;;
100;D0036969;172.16.227.106;SB-FBP106;SB-FBP-EXA06;SB-FBP106;;EVS XTAccess 06;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB4;2;;4;;;;;;;;;;;;;;
